gene_id,gene_symbol
ENSG00000143498.18,TAF1A
ENSG00000130270.16,ATP8B3
ENSG00000145244.12,CORIN
ENSG00000151651.16,ADAM8
ENSG00000171843.17,MLLT3
ENSG00000178974.10,FBXO34
ENSG00000196376.11,SLC35F1
ENSG00000198796.7,ALPK2
ENSG00000071991.9,CDH19
ENSG00000120457.12,KCNJ5
ENSG00000168394.11,TAP1
ENSG00000143387.14,CTSK
ENSG00000139117.14,CPNE8
ENSG00000141316.13,SPACA3
ENSG00000141642.9,ELAC1
ENSG00000162755.14,KLHDC9
ENSG00000139515.6,PDX1
ENSG00000173821.19,RNF213
ENSG00000169851.15,PCDH7
ENSG00000165474.8,GJB2
ENSG00000104147.9,OIP5
ENSG00000140326.13,CDAN1
ENSG00000132437.18,DDC
ENSG00000160870.15,CYP3A7
ENSG00000108242.13,CYP2C18
ENSG00000072864.16,NDE1
ENSG00000154556.18,SORBS2
ENSG00000166920.13,C15orf48
ENSG00000166224.17,SGPL1
ENSG00000013523.11,ANGEL1
ENSG00000196754.13,S100A2
ENSG00000118515.11,SGK1
ENSG00000112984.12,KIF20A
ENSG00000163993.7,S100P
ENSG00000094755.17,GABRP
ENSG00000105675.9,ATP4A
ENSG00000153029.14,MR1
ENSG00000129055.13,ANAPC13
ENSG00000204634.13,TBC1D8
ENSG00000113161.16,HMGCR
ENSG00000124201.15,ZNFX1
ENSG00000142627.13,EPHA2
ENSG00000145014.18,TMEM44
ENSG00000184508.12,HDDC3
ENSG00000131069.20,ACSS2
ENSG00000168395.16,ING5
ENSG00000186847.6,KRT14
ENSG00000004468.13,CD38
ENSG00000102996.5,MMP15
ENSG00000113328.19,CCNG1
ENSG00000116117.18,PARD3B
ENSG00000196154.12,S100A4
ENSG00000148935.11,GAS2
ENSG00000141458.13,NPC1
ENSG00000164176.13,EDIL3
ENSG00000050344.9,NFE2L3
ENSG00000077585.14,GPR137B
ENSG00000130226.17,DPP6
ENSG00000088448.14,ANKRD10
ENSG00000095383.20,TBC1D2
ENSG00000149591.17,TAGLN
ENSG00000100116.17,GCAT
ENSG00000135506.16,OS9
ENSG00000103034.14,NDRG4
ENSG00000035928.16,RFC1
ENSG00000138778.13,CENPE
ENSG00000196233.14,LCOR
ENSG00000084636.18,COL16A1
ENSG00000164484.12,TMEM200A
ENSG00000137673.9,MMP7
ENSG00000130159.14,ECSIT
ENSG00000104450.13,SPAG1
ENSG00000138386.17,NAB1
ENSG00000188910.8,GJB3
ENSG00000198910.14,L1CAM
ENSG00000168461.13,RAB31
ENSG00000175315.3,CST6
ENSG00000148730.7,EIF4EBP2
ENSG00000105865.11,DUS4L
ENSG00000178401.16,DNAJC22
ENSG00000180834.8,MAP6D1
ENSG00000139926.16,FRMD6
ENSG00000127616.19,SMARCA4
ENSG00000137392.10,CLPS
ENSG00000106868.17,SUSD1
ENSG00000070718.12,AP3M2
ENSG00000176046.9,NUPR1
ENSG00000162885.14,B3GALNT2
ENSG00000110436.13,SLC1A2
ENSG00000173917.10,HOXB2
ENSG00000160255.18,ITGB2
ENSG00000083857.14,FAT1
ENSG00000123131.13,PRDX4
ENSG00000118160.14,SLC8A2
ENSG00000131779.11,PEX11B
ENSG00000188001.10,TPRG1
ENSG00000143228.13,NUF2
ENSG00000135046.14,ANXA1
ENSG00000188060.7,RAB42
ENSG00000147676.14,MAL2
ENSG00000130222.11,GADD45G
ENSG00000171302.17,CANT1
ENSG00000129116.19,PALLD
ENSG00000127824.14,TUBA4A
ENSG00000096088.16,PGC
ENSG00000278845.5,MRPL45
ENSG00000005249.13,PRKAR2B
ENSG00000079277.22,MKNK1
ENSG00000006704.11,GTF2IRD1
ENSG00000097046.13,CDC7
ENSG00000158156.9,XKR8
ENSG00000120057.5,SFRP5
ENSG00000175662.18,TOM1L2
ENSG00000108691.9,CCL2
ENSG00000130595.19,TNNT3
ENSG00000111206.13,FOXM1
ENSG00000257218.6,GATC
ENSG00000179862.7,CITED4
ENSG00000059377.18,TBXAS1
ENSG00000196562.14,SULF2
ENSG00000145113.22,MUC4
ENSG00000148773.14,MKI67
ENSG00000167664.8,TMIGD2
ENSG00000139832.5,RAB20
ENSG00000104626.15,ERI1
ENSG00000140299.13,BNIP2
ENSG00000138363.15,ATIC
ENSG00000139329.5,LUM
ENSG00000134443.10,GRP
ENSG00000117713.20,ARID1A
ENSG00000204228.4,HSD17B8
ENSG00000168925.12,CTRB1
ENSG00000157214.14,STEAP2
ENSG00000130402.13,ACTN4
ENSG00000089685.15,BIRC5
ENSG00000198624.13,CCDC69
ENSG00000143416.21,SELENBP1
ENSG00000147576.17,ADHFE1
ENSG00000100815.12,TRIP11
ENSG00000120659.15,TNFSF11
ENSG00000182481.10,KPNA2
ENSG00000228716.7,DHFR
ENSG00000129226.14,CD68
ENSG00000157637.13,SLC38A10
ENSG00000083093.10,PALB2
ENSG00000065457.10,ADAT1
ENSG00000019485.13,PRDM11
ENSG00000059573.9,ALDH18A1
ENSG00000163131.11,CTSS
ENSG00000152642.11,GPD1L
ENSG00000111424.12,VDR
ENSG00000147044.22,CASK
ENSG00000101842.14,VSIG1
ENSG00000168542.16,COL3A1
ENSG00000091164.13,TXNL1
ENSG00000115919.15,KYNU
ENSG00000128294.16,TPST2
ENSG00000260027.5,HOXB7
ENSG00000186868.16,MAPT
ENSG00000155657.28,TTN
ENSG00000177301.16,KCNA2
ENSG00000176406.23,RIMS2
ENSG00000005206.17,SPPL2B
ENSG00000182492.16,BGN
ENSG00000080573.7,COL5A3
ENSG00000117691.10,NENF
ENSG00000188993.3,LRRC66
ENSG00000198734.12,F5
ENSG00000044115.21,CTNNA1
ENSG00000163395.17,IGFN1
ENSG00000136603.14,SKIL
ENSG00000140391.15,TSPAN3
ENSG00000141338.14,ABCA8
ENSG00000134398.15,ERN2
ENSG00000127314.18,RAP1B
ENSG00000118473.22,SGIP1
ENSG00000100170.10,SLC5A1
ENSG00000140386.13,SCAPER
ENSG00000137440.5,FGFBP1
ENSG00000169756.16,LIMS1
ENSG00000006468.14,ETV1
ENSG00000151365.2,THRSP
ENSG00000181191.12,PJA1
ENSG00000185479.6,KRT6B
ENSG00000198719.9,DLL1
ENSG00000112378.12,PERP
ENSG00000013364.19,MVP
ENSG00000065325.13,GLP2R
ENSG00000196352.16,CD55
ENSG00000177494.6,ZBED2
ENSG00000125733.18,TRIP10
ENSG00000176171.11,BNIP3
ENSG00000128683.14,GAD1
ENSG00000170417.16,TMEM182
ENSG00000128340.15,RAC2
ENSG00000213928.9,IRF9
ENSG00000133027.18,PEMT
ENSG00000073282.14,TP63
ENSG00000023445.16,BIRC3
ENSG00000178234.13,GALNT11
ENSG00000132464.13,ENAM
ENSG00000121742.19,GJB6
ENSG00000055732.13,MCOLN3
ENSG00000104689.10,TNFRSF10A
ENSG00000070182.21,SPTB
ENSG00000006125.18,AP2B1
ENSG00000213339.9,QTRT1
ENSG00000167183.3,PRR15L
ENSG00000185432.12,METTL7A
ENSG00000125148.7,MT2A
ENSG00000158715.6,SLC45A3
ENSG00000180535.4,BHLHA15
ENSG00000026025.16,VIM
ENSG00000110880.11,CORO1C
ENSG00000137133.11,HINT2
ENSG00000186153.17,WWOX
ENSG00000151353.15,TMEM18
ENSG00000076344.16,RGS11
ENSG00000169994.18,MYO7B
ENSG00000147050.16,KDM6A
ENSG00000109906.14,ZBTB16
ENSG00000165495.16,PKNOX2
ENSG00000167476.10,JSRP1
ENSG00000156298.13,TSPAN7
ENSG00000163017.14,ACTG2
ENSG00000128510.12,CPA4
ENSG00000135823.14,STX6
ENSG00000030582.18,GRN
ENSG00000175470.20,PPP2R2D
ENSG00000169562.13,GJB1
ENSG00000121879.6,PIK3CA
ENSG00000146755.11,TRIM50
ENSG00000095585.17,BLNK
ENSG00000110148.10,CCKBR
ENSG00000100079.7,LGALS2
ENSG00000214022.11,REPIN1
ENSG00000163453.11,IGFBP7
ENSG00000111716.14,LDHB
ENSG00000101230.6,ISM1
ENSG00000144810.16,COL8A1
ENSG00000163864.17,NMNAT3
ENSG00000140525.19,FANCI
ENSG00000167740.10,CYB5D2
ENSG00000147614.4,ATP6V0D2
ENSG00000127947.16,PTPN12
ENSG00000122025.15,FLT3
ENSG00000160752.15,FDPS
ENSG00000166889.14,PATL1
ENSG00000091490.11,SEL1L3
ENSG00000169429.11,CXCL8
ENSG00000196923.14,PDLIM7
ENSG00000167397.15,VKORC1
ENSG00000084234.18,APLP2
ENSG00000240038.6,AMY2B
ENSG00000166394.15,CYB5R2
ENSG00000143476.18,DTL
ENSG00000122711.9,SPINK4
ENSG00000253368.4,TRNP1
ENSG00000175390.15,EIF3F
ENSG00000205221.12,VIT
ENSG00000101447.15,FAM83D
ENSG00000128573.26,FOXP2
ENSG00000176170.14,SPHK1
ENSG00000143977.14,SNRPG
ENSG00000275385.2,CCL18
ENSG00000164733.22,CTSB
ENSG00000132530.17,XAF1
ENSG00000141504.12,SAT2
ENSG00000134107.5,BHLHE40
ENSG00000165943.5,MOAP1
ENSG00000173801.17,JUP
ENSG00000186340.16,THBS2
ENSG00000124507.11,PACSIN1
ENSG00000163029.16,SMC6
ENSG00000258713.3,C20orf141
ENSG00000119888.11,EPCAM
ENSG00000081923.15,ATP8B1
ENSG00000171517.6,LPAR3
ENSG00000108671.11,PSMD11
ENSG00000150627.16,WDR17
ENSG00000213853.10,EMP2
ENSG00000188158.16,NHS
ENSG00000198670.12,LPA
ENSG00000091583.11,APOH
ENSG00000254709.8,IGLL5
ENSG00000169884.14,WNT10B
ENSG00000078549.15,ADCYAP1R1
ENSG00000177169.10,ULK1
ENSG00000168679.18,SLC16A4
ENSG00000162493.16,PDPN
ENSG00000144136.11,SLC20A1
ENSG00000102900.13,NUP93
ENSG00000156218.13,ADAMTSL3
ENSG00000181143.15,MUC16
ENSG00000105426.17,PTPRS
ENSG00000163207.7,IVL
ENSG00000163898.10,LIPH
ENSG00000074047.22,GLI2
ENSG00000135931.18,ARMC9
ENSG00000139874.6,SSTR1
ENSG00000116194.13,ANGPTL1
ENSG00000158411.11,MITD1
ENSG00000158806.14,NPM2
ENSG00000162065.14,TBC1D24
ENSG00000169715.15,MT1E
ENSG00000100344.11,PNPLA3
ENSG00000121797.10,CCRL2
ENSG00000157077.15,ZFYVE9
ENSG00000171766.17,GATM
ENSG00000138134.12,STAMBPL1
ENSG00000050165.18,DKK3
ENSG00000135409.11,AMHR2
ENSG00000168306.13,ACOX2
ENSG00000124205.18,EDN3
ENSG00000167964.13,RAB26
ENSG00000134371.14,CDC73
ENSG00000163536.13,SERPINI1
ENSG00000170873.19,MTSS1
ENSG00000185745.10,IFIT1
ENSG00000157227.13,MMP14
ENSG00000164182.12,NDUFAF2
ENSG00000151224.13,MAT1A
ENSG00000185615.16,PDIA2
ENSG00000134962.7,KLB
ENSG00000181408.4,UTS2R
ENSG00000164106.8,SCRG1
ENSG00000039560.14,RAI14
ENSG00000164442.10,CITED2
ENSG00000101400.6,SNTA1
ENSG00000062038.14,CDH3
ENSG00000162241.12,SLC25A45
ENSG00000099866.15,MADCAM1
ENSG00000165995.22,CACNB2
ENSG00000173391.9,OLR1
ENSG00000181754.7,AMIGO1
ENSG00000154447.15,SH3RF1
ENSG00000198794.12,SCAMP5
ENSG00000100290.3,BIK
ENSG00000076351.13,SLC46A1
ENSG00000010318.21,PHF7
ENSG00000185352.8,HS6ST3
ENSG00000128342.5,LIF
ENSG00000149925.22,ALDOA
ENSG00000137203.15,TFAP2A
ENSG00000186350.12,RXRA
ENSG00000172023.8,REG1B
ENSG00000184381.20,PLA2G6
ENSG00000019549.13,SNAI2
ENSG00000015413.9,DPEP1
ENSG00000128272.15,ATF4
ENSG00000166451.13,CENPN
ENSG00000164938.14,TP53INP1
ENSG00000163435.16,ELF3
ENSG00000091704.10,CPA1
ENSG00000144452.15,ABCA12
ENSG00000137265.15,IRF4
ENSG00000158825.6,CDA
ENSG00000186642.16,PDE2A
ENSG00000175874.10,CREG2
ENSG00000197111.16,PCBP2
ENSG00000124107.5,SLPI
ENSG00000117834.13,SLC5A9
ENSG00000163072.16,NOSTRIN
ENSG00000014914.21,MTMR11
ENSG00000143797.12,MBOAT2
ENSG00000140526.18,ABHD2
ENSG00000042980.13,ADAM28
ENSG00000165891.16,E2F7
ENSG00000172059.11,KLF11
ENSG00000035403.18,VCL
ENSG00000163618.18,CADPS
ENSG00000104783.14,KCNN4
ENSG00000087502.18,ERGIC2
ENSG00000163884.4,KLF15
ENSG00000115233.12,PSMD14
ENSG00000168143.9,FAM83B
ENSG00000164692.18,COL1A2
ENSG00000163755.9,HPS3
ENSG00000071054.16,MAP4K4
ENSG00000167685.15,ZNF444
ENSG00000117650.13,NEK2
ENSG00000144354.14,CDCA7
ENSG00000178607.16,ERN1
ENSG00000170915.9,PAQR8
ENSG00000105662.16,CRTC1
ENSG00000170540.15,ARL6IP1
ENSG00000183960.9,KCNH8
ENSG00000155465.20,SLC7A7
ENSG00000118596.12,SLC16A7
ENSG00000121966.7,CXCR4
ENSG00000124701.5,APOBEC2
ENSG00000167705.12,RILP
ENSG00000075391.17,RASAL2
ENSG00000104371.5,DKK4
ENSG00000136059.14,VILL
ENSG00000078070.13,MCCC1
ENSG00000152661.9,GJA1
ENSG00000177156.11,TALDO1
ENSG00000169896.18,ITGAM
ENSG00000175806.15,MSRA
ENSG00000169047.5,IRS1
ENSG00000138160.7,KIF11
ENSG00000167614.14,TTYH1
ENSG00000139318.8,DUSP6
ENSG00000081026.19,MAGI3
ENSG00000243480.7,AMY2A
ENSG00000136014.12,USP44
ENSG00000149735.7,GPHA2
ENSG00000130294.17,KIF1A
ENSG00000137700.18,SLC37A4
ENSG00000131981.16,LGALS3
ENSG00000159388.6,BTG2
ENSG00000121653.11,MAPK8IP1
ENSG00000168491.10,CCDC110
ENSG00000063127.16,SLC6A16
ENSG00000107281.10,NPDC1
ENSG00000162616.9,DNAJB4
ENSG00000111247.15,RAD51AP1
ENSG00000111799.21,COL12A1
ENSG00000125888.15,BANF2
ENSG00000181381.14,DDX60L
ENSG00000136950.13,ARPC5L
ENSG00000167653.5,PSCA
ENSG00000114209.15,PDCD10
ENSG00000108679.13,LGALS3BP
ENSG00000169372.13,CRADD
ENSG00000114805.18,PLCH1
ENSG00000162104.10,ADCY9
ENSG00000205531.13,NAP1L4
ENSG00000100644.17,HIF1A
ENSG00000066279.18,ASPM
ENSG00000134324.12,LPIN1
ENSG00000170502.13,NUDT9
ENSG00000049759.19,NEDD4L
ENSG00000164930.12,FZD6
ENSG00000139546.11,TARBP2
ENSG00000107485.18,GATA3
ENSG00000177409.12,SAMD9L
ENSG00000090565.17,RAB11FIP3
ENSG00000127324.9,TSPAN8
ENSG00000139618.16,BRCA2
ENSG00000075275.18,CELSR1
ENSG00000100219.16,XBP1
ENSG00000197747.9,S100A10
ENSG00000130307.12,USHBP1
ENSG00000104967.8,NOVA2
ENSG00000136802.12,LRRC8A
ENSG00000167748.11,KLK1
ENSG00000124493.14,GRM4
ENSG00000133816.17,MICAL2
ENSG00000170921.15,TANC2
ENSG00000090889.12,KIF4A
ENSG00000128965.13,CHAC1
ENSG00000174799.11,CEP135
ENSG00000155366.17,RHOC
ENSG00000066230.12,SLC9A3
ENSG00000085733.16,CTTN
ENSG00000183255.12,PTTG1IP
ENSG00000006638.13,TBXA2R
ENSG00000048540.15,LMO3
ENSG00000081803.16,CADPS2
ENSG00000115652.15,UXS1
ENSG00000170465.10,KRT6C
ENSG00000170890.14,PLA2G1B
ENSG00000092969.12,TGFB2
ENSG00000106688.12,SLC1A1
ENSG00000144043.12,TEX261
ENSG00000169604.20,ANTXR1
ENSG00000175550.8,DRAP1
ENSG00000166938.13,DIS3L
ENSG00000196371.3,FUT4
ENSG00000167460.17,TPM4
ENSG00000107201.10,DDX58
ENSG00000137054.16,POLR1E
ENSG00000125144.14,MT1G
ENSG00000136828.19,RALGPS1
ENSG00000009950.16,MLXIPL
ENSG00000111700.13,SLCO1B3
ENSG00000178828.7,RNF186
ENSG00000139737.22,SLAIN1
ENSG00000160190.14,SLC37A1
ENSG00000196950.14,SLC39A10
ENSG00000163209.15,SPRR3
ENSG00000137628.17,DDX60
ENSG00000086717.18,PPEF1
ENSG00000071539.14,TRIP13
ENSG00000006611.17,USH1C
ENSG00000188042.8,ARL4C
ENSG00000108179.14,PPIF
ENSG00000087586.18,AURKA
ENSG00000102796.11,DHRS12
ENSG00000185519.9,FAM131C
ENSG00000243955.6,GSTA1
ENSG00000179348.12,GATA2
ENSG00000087088.20,BAX
ENSG00000117643.14,MAN1C1
ENSG00000149150.9,SLC43A1
ENSG00000100281.14,HMGXB4
ENSG00000129422.14,MTUS1
ENSG00000124102.5,PI3
ENSG00000102743.15,SLC25A15
ENSG00000165879.9,FRAT1
ENSG00000156804.7,FBXO32
ENSG00000104738.18,MCM4
ENSG00000148584.15,A1CF
ENSG00000078140.14,UBE2K
ENSG00000176945.17,MUC20
ENSG00000139154.16,AEBP2
ENSG00000101844.18,ATG4A
ENSG00000205213.14,LGR4
ENSG00000172201.12,ID4
ENSG00000205364.4,MT1M
ENSG00000163812.15,ZDHHC3
ENSG00000148468.17,FAM171A1
ENSG00000017427.17,IGF1
ENSG00000106511.6,MEOX2
ENSG00000164684.13,ZNF704
ENSG00000092621.13,PHGDH
ENSG00000239264.9,TXNDC5
ENSG00000174788.10,PCP2
ENSG00000102243.13,VGLL1
ENSG00000109861.17,CTSC
ENSG00000171940.13,ZNF217
ENSG00000163694.15,RBM47
ENSG00000170786.12,SDR16C5
ENSG00000162438.12,CTRC
ENSG00000105974.13,CAV1
ENSG00000107731.12,UNC5B
ENSG00000143816.8,WNT9A
ENSG00000105707.14,HPN
ENSG00000242259.9,C22orf39
ENSG00000182957.16,SPATA13
ENSG00000118322.14,ATP10B
ENSG00000174672.16,BRSK2
ENSG00000163501.7,IHH
ENSG00000144031.12,ANKRD53
ENSG00000126787.13,DLGAP5
ENSG00000180776.16,ZDHHC20
ENSG00000180011.7,ZADH2
ENSG00000182253.15,SYNM
ENSG00000107796.13,ACTA2
ENSG00000189180.16,ZNF33A
ENSG00000164344.16,KLKB1
ENSG00000134769.21,DTNA
ENSG00000145194.19,ECE2
ENSG00000072401.15,UBE2D1
ENSG00000167207.14,NOD2
ENSG00000106052.13,TAX1BP1
ENSG00000163635.20,ATXN7
ENSG00000070526.15,ST6GALNAC1
ENSG00000102981.10,PARD6A
ENSG00000113810.16,SMC4
ENSG00000126351.13,THRA
ENSG00000180370.10,PAK2
ENSG00000166710.21,B2M
ENSG00000147394.18,ZNF185
ENSG00000168032.10,ENTPD3
ENSG00000172939.9,OXSR1
ENSG00000111305.19,GSG1
ENSG00000206075.14,SERPINB5
ENSG00000172493.22,AFF1
ENSG00000005020.13,SKAP2
ENSG00000236699.9,ARHGEF38
ENSG00000103534.17,TMC5
ENSG00000138079.14,SLC3A1
ENSG00000145819.18,ARHGAP26
ENSG00000149177.13,PTPRJ
ENSG00000146278.11,PNRC1
ENSG00000012048.23,BRCA1
ENSG00000147689.16,FAM83A
ENSG00000104432.14,IL7
ENSG00000140853.16,NLRC5
ENSG00000173531.15,MST1
ENSG00000171303.7,KCNK3
ENSG00000101825.8,MXRA5
ENSG00000196368.5,NUDT11
ENSG00000130517.14,PGPEP1
ENSG00000184995.7,IFNE
ENSG00000100258.18,LMF2
ENSG00000162813.18,BPNT1
ENSG00000066739.12,ATG2B
ENSG00000100304.13,TTLL12
ENSG00000063015.20,SEZ6
ENSG00000101557.15,USP14
ENSG00000124215.17,CDH26
ENSG00000130830.15,MPP1
ENSG00000146072.6,TNFRSF21
ENSG00000153317.15,ASAP1
ENSG00000113140.11,SPARC
ENSG00000243364.8,EFNA4
ENSG00000169862.19,CTNND2
ENSG00000134668.12,SPOCD1
ENSG00000182621.18,PLCB1
ENSG00000139193.4,CD27
ENSG00000117450.15,PRDX1
ENSG00000179588.9,ZFPM1
ENSG00000165949.12,IFI27
ENSG00000115596.4,WNT6
ENSG00000103375.11,AQP8
ENSG00000137807.16,KIF23
ENSG00000160588.10,MPZL3
ENSG00000125841.13,NRSN2
ENSG00000153904.21,DDAH1
ENSG00000180628.15,PCGF5
ENSG00000258227.7,CLEC5A
ENSG00000125246.15,CLYBL
ENSG00000011426.11,ANLN
ENSG00000176978.14,DPP7
ENSG00000160932.11,LY6E
ENSG00000128590.5,DNAJB9
ENSG00000121957.15,GPSM2
ENSG00000198816.7,ZNF358
ENSG00000124406.16,ATP8A1
ENSG00000152377.14,SPOCK1
ENSG00000088726.16,TMEM40
ENSG00000117724.13,CENPF
ENSG00000135093.13,USP30
ENSG00000076864.19,RAP1GAP
ENSG00000131620.17,ANO1
ENSG00000158467.16,AHCYL2
ENSG00000124786.12,SLC35B3
ENSG00000146955.11,RAB19
ENSG00000173207.13,CKS1B
ENSG00000167553.16,TUBA1C
ENSG00000114956.20,DGUOK
ENSG00000162482.5,AKR7A3
ENSG00000162645.13,GBP2
ENSG00000077782.21,FGFR1
ENSG00000115514.12,TXNDC9
ENSG00000070882.13,OSBPL3
ENSG00000182919.15,C11orf54
ENSG00000133134.12,BEX2
ENSG00000143401.15,ANP32E
ENSG00000142156.15,COL6A1
ENSG00000170899.11,GSTA4
ENSG00000121578.13,B4GALT4
ENSG00000099622.14,CIRBP
ENSG00000081985.13,IL12RB2
ENSG00000131242.18,RAB11FIP4
ENSG00000178999.13,AURKB
ENSG00000118263.15,KLF7
ENSG00000175287.19,PHYHD1
ENSG00000283632.4,EXOC3L2
ENSG00000130768.15,SMPDL3B
ENSG00000168763.16,CNNM3
ENSG00000197415.12,VEPH1
ENSG00000165169.11,DYNLT3
ENSG00000100479.13,POLE2
ENSG00000109452.12,INPP4B
ENSG00000140931.20,CMTM3
ENSG00000173692.14,PSMD1
ENSG00000125170.11,DOK4
ENSG00000138821.13,SLC39A8
ENSG00000136141.15,LRCH1
ENSG00000165434.8,PGM2L1
ENSG00000165730.16,STOX1
ENSG00000177103.15,DSCAML1
ENSG00000162032.16,SPSB3
ENSG00000169908.12,TM4SF1
ENSG00000175311.7,ANKS4B
ENSG00000178568.15,ERBB4
ENSG00000141068.14,KSR1
ENSG00000271447.6,MMP28
ENSG00000139112.11,GABARAPL1
ENSG00000179051.14,RCC2
ENSG00000158710.15,TAGLN2
ENSG00000152332.16,UHMK1
ENSG00000104537.17,ANXA13
ENSG00000118046.16,STK11
ENSG00000132646.11,PCNA
ENSG00000196482.18,ESRRG
ENSG00000163328.14,GPR155
ENSG00000019102.12,VSIG2
ENSG00000174080.12,CTSF
ENSG00000143158.11,MPC2
ENSG00000060558.4,GNA15
ENSG00000183044.12,ABAT
ENSG00000144837.9,PLA1A
ENSG00000142188.17,TMEM50B
ENSG00000157613.11,CREB3L1
ENSG00000158092.7,NCK1
ENSG00000185010.15,F8
ENSG00000137648.19,TMPRSS4
ENSG00000115648.14,MLPH
ENSG00000112118.20,MCM3
ENSG00000114204.15,SERPINI2
ENSG00000129152.4,MYOD1
ENSG00000149091.15,DGKZ
ENSG00000177570.15,SAMD12
ENSG00000141086.18,CTRL
ENSG00000132254.13,ARFIP2
ENSG00000154309.9,DISP1
ENSG00000106541.12,AGR2
ENSG00000167851.15,CD300A
ENSG00000180806.5,HOXC9
ENSG00000049768.16,FOXP3
ENSG00000174564.13,IL20RB
ENSG00000110092.4,CCND1
ENSG00000275688.4,CCL15-CCL14
ENSG00000103037.12,SETD6
ENSG00000120075.5,HOXB5
ENSG00000049449.10,RCN1
ENSG00000107562.16,CXCL12
ENSG00000126458.4,RRAS
ENSG00000157017.16,GHRL
ENSG00000136238.18,RAC1
ENSG00000181409.14,AATK
ENSG00000028203.18,VEZT
ENSG00000133985.3,TTC9
ENSG00000105989.10,WNT2
ENSG00000117226.12,GBP3
ENSG00000205358.4,MT1H
ENSG00000197712.12,FAM114A1
ENSG00000198934.5,MAGEE1
ENSG00000002587.10,HS3ST1
ENSG00000162878.13,PKDCC
ENSG00000109083.14,IFT20
ENSG00000072954.7,TMEM38A
ENSG00000110042.8,DTX4
ENSG00000102554.14,KLF5
ENSG00000113583.8,C5orf15
ENSG00000036672.16,USP2
ENSG00000107341.5,UBE2R2
ENSG00000141448.11,GATA6
ENSG00000134207.17,SYT6
ENSG00000168928.13,CTRB2
ENSG00000026103.22,FAS
ENSG00000075643.6,MOCOS
ENSG00000146648.19,EGFR
ENSG00000113712.19,CSNK1A1
ENSG00000120318.16,ARAP3
ENSG00000070950.10,RAD18
ENSG00000119711.13,ALDH6A1
ENSG00000177732.8,SOX12
ENSG00000067955.15,CBFB
ENSG00000198643.7,FAM3D
ENSG00000135423.13,GLS2
ENSG00000204219.11,TCEA3
ENSG00000173467.9,AGR3
ENSG00000139946.10,PELI2
ENSG00000163808.17,KIF15
ENSG00000013588.9,GPRC5A
ENSG00000138071.14,ACTR2
ENSG00000007216.15,SLC13A2
ENSG00000106809.11,OGN
ENSG00000164761.9,TNFRSF11B
ENSG00000103769.10,RAB11A
ENSG00000165775.18,FUNDC2
ENSG00000173702.7,MUC13
ENSG00000128422.17,KRT17
ENSG00000197520.10,FAM177B
ENSG00000275718.2,CCL15
ENSG00000163161.14,ERCC3
ENSG00000135503.13,ACVR1B
ENSG00000087263.17,OGFOD1
ENSG00000129038.16,LOXL1
ENSG00000130382.9,MLLT1
ENSG00000142731.11,PLK4
ENSG00000172244.9,C5orf34
ENSG00000185808.14,PIGP
ENSG00000135324.6,MRAP2
ENSG00000030419.16,IKZF2
ENSG00000152422.16,XRCC4
ENSG00000156219.17,ART3
ENSG00000165125.22,TRPV6
ENSG00000160445.11,ZER1
ENSG00000141968.8,VAV1
ENSG00000144824.21,PHLDB2
ENSG00000196975.16,ANXA4
ENSG00000103485.19,QPRT
ENSG00000174748.22,RPL15
ENSG00000164924.18,YWHAZ
ENSG00000197798.9,FAM118B
ENSG00000147889.18,CDKN2A
ENSG00000104375.17,STK3
ENSG00000071127.17,WDR1
ENSG00000109794.13,FAM149A
ENSG00000184292.7,TACSTD2
ENSG00000120093.11,HOXB3
ENSG00000155380.12,SLC16A1
ENSG00000167656.5,LY6D
ENSG00000101443.18,WFDC2
ENSG00000170537.13,TMC7
ENSG00000109084.14,TMEM97
ENSG00000148516.22,ZEB1
ENSG00000170421.12,KRT8
ENSG00000197142.10,ACSL5
ENSG00000214814.7,FER1L6
ENSG00000151693.11,ASAP2
ENSG00000123500.10,COL10A1
ENSG00000145920.15,CPLX2
ENSG00000143196.5,DPT
ENSG00000110917.8,MLEC
ENSG00000108523.16,RNF167
ENSG00000038427.16,VCAN
ENSG00000108821.14,COL1A1
ENSG00000176597.12,B3GNT5
ENSG00000178075.20,GRAMD1C
ENSG00000139668.9,WDFY2
ENSG00000184515.11,BEX5
ENSG00000082781.12,ITGB5
ENSG00000085978.22,ATG16L1
ENSG00000138496.16,PARP9
ENSG00000124615.20,MOCS1
ENSG00000165476.14,REEP3
ENSG00000111229.16,ARPC3
ENSG00000162817.7,C1orf115
ENSG00000149636.16,DSN1
ENSG00000117707.16,PROX1
ENSG00000143013.13,LMO4
ENSG00000121380.12,BCL2L14
ENSG00000065150.21,IPO5
ENSG00000146416.19,AIG1
ENSG00000141639.12,MAPK4
ENSG00000163513.19,TGFBR2
ENSG00000130005.13,GAMT
ENSG00000157315.5,TMED6
ENSG00000165060.15,FXN
ENSG00000067057.18,PFKP
ENSG00000277791.5,PSMB3
ENSG00000175928.6,LRRN1
ENSG00000127578.7,WFIKKN1
ENSG00000110660.15,SLC35F2
ENSG00000129084.18,PSMA1
ENSG00000184574.10,LPAR5
ENSG00000165655.17,ZNF503
ENSG00000160408.15,ST6GALNAC6
ENSG00000130635.16,COL5A1
ENSG00000143434.16,SEMA6C
ENSG00000120885.22,CLU
